id,name,activity_type,priority,frequency,duration_minutes,details,facilitator,location,can_be_remote,prep_requirements,backup_activities,skip_adjustments,metrics_to_collect,equipment_needed,specialist_needed,allied_health_needed,preferred_time_slots
ACT_001,Morning Zone 2 Cardio Run,fitness,21,three_times_weekly,45,"Maintain HR between 120-140 BPM, nasal breathing",Running Coach,Outdoor Track,False,Wear appropriate workout clothes,ACT_007,Add extra cardio to next session if skipped,heart_rate|distance|pace|cadence,heart_rate_monitor|running_watch,,,morning
ACT_002,High-Intensity Interval Training,fitness,22,twice_weekly,30,"4x4 protocol: 4 min high intensity, 3 min recovery",Personal Trainer,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,heart_rate_max|calories_burned|vo2_estimate,treadmill|heart_rate_monitor,,,morning|afternoon|evening
ACT_003,Strength Training - Upper Body,fitness,23,three_times_weekly,60,"Focus on compound movements: bench press, rows, shoulder press",Strength Coach,Gym,False,Wear appropriate workout clothes,ACT_012,Add extra cardio to next session if skipped,weight_lifted|reps|sets|rpe,barbell|dumbbells|bench,,,morning|afternoon
ACT_004,Strength Training - Lower Body,fitness,24,three_times_weekly,60,"Squats, deadlifts, lunges - progressive overload protocol",Strength Coach,Gym,False,Wear appropriate workout clothes,ACT_012,Add extra cardio to next session if skipped,weight_lifted|reps|sets|rpe,barbell|squat_rack|leg_press,,,morning|afternoon
ACT_005,Yoga Flow Session,fitness,25,twice_weekly,45,Vinyasa flow focusing on flexibility and breath work,Yoga Instructor,Yoga Studio,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,flexibility_score|breath_count,yoga_mat,,,morning|afternoon|evening
ACT_006,Swimming Laps,fitness,26,twice_weekly,40,"Mixed strokes, focus on endurance and technique",Swim Coach,Pool,False,Wear appropriate workout clothes,ACT_001,Add extra cardio to next session if skipped,laps_completed|stroke_count|time_per_lap,swim_goggles|swim_cap,,,morning|afternoon|evening
ACT_007,Cycling Session,fitness,27,three_times_weekly,60,"Zone 2 endurance ride, flat terrain",Cycling Coach,Indoor/Outdoor,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,distance|average_speed|cadence|heart_rate,bicycle|cycling_computer,,,morning|afternoon|evening
ACT_008,Eye Exercise Routine,fitness,28,daily,10,Bates method exercises for eye health - 20-20-20 rule compliance,Self,Home,True,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,completion|eye_strain_level,,,,morning|afternoon|evening
ACT_009,Core Stability Workout,fitness,29,three_times_weekly,20,"Planks, dead bugs, bird dogs - focus on anti-rotation",Personal Trainer,Gym,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,hold_times|reps,exercise_mat,,,morning|afternoon|evening
ACT_010,Mobility and Stretching,fitness,30,daily,15,Dynamic and static stretching routine,Self,Home,False,Wear appropriate workout clothes,,Add extra cardio to next session if skipped,flexibility_assessment,foam_roller|exercise_mat,,,morning|afternoon|evening
